ID,CALL,CN,TYPE,NAME
D02CD6,,🇩🇪 GI,Ventus 2b,🇩🇪 Marc Schick
3EEAA9,,. F3,ASW 27,. Frederic Weigert
3EE3C7,,. SG,LS 6,. Viola Weigert
DDAB65,,. LS,LS 6 neo,. Marcel Schön
D008D7,,. X,JS3,. Achim Reuther
3EC0F0,,. AI,JS3 TJ,. Burkhard Müller
D02A46,,🇫🇷 FE,ASG 29,🇫🇷 Jan-Frederic Müller
,,🇨🇿 4Z,Ventus 3T,🇨🇿 Stefan Lichtmannecker
3ECCF6,,🇩🇪 TOY,ASG 29 E,🇩🇪 Thomas Kuhn
3EDC07,,🇮🇹 HB,JS3,🇮🇹 Bernd Krimmer
DDC37E,,. F6,LS 6,. Jonas Krautter
,,. 4S,Ventus 2cT,. Mirja Klicks
,,. WS,Ventus 2b,. Florian Karow
D0050F,,🇳🇴 CT,JS3,🇳🇴 Klaus Kalmbach
3EE45C,,. LF,LS 6 neo,. Jakob Tilman
3EF94E,,🇵🇱 HH,ASW 27,🇵🇱 Felix Huttel
D02953,,. EY,Ventus 2ax,. Bastian Hörber
D01012,,. B,JS3,. Uwe Höfinghoff
004D37,,. LV,ASG 29,. Wolfgang Gmeiner
3EE104,,🇨🇭 SB,LS 8 neo,🇨🇭 Dirk Gintzel
3EF25A,,. 47,Ventus 2a,. Hans Otto Edelhoff
3EFF4C,,. IP,ASW 27,. Norbert Dellinger
3EEDC9,,. BL,ASW 20,. Lukas Brune
3EF053,,🇩🇪 1G,Ventus 2b,🇩🇪 Henrik Bieler
,,🇨🇿 CO,AS 33,🇨🇿 Hanns-Günther Bauer
