ID,CALL,CN,TYPE,NAME
D02CD6,,🇩🇪 GI,Ventus 2b,🇩🇪 Marc Schick
3EEAA9,,. F3,ASW 27,. Frederic Weigert
3EE3C7,,. SG,LS 6,. Viola Weigert
DDAB65,,. LS,LS 6 neo,. Marcel Schön
D008D7,,. X,JS3,. Achim Reuther
3EC0F0,,. AI,JS3 TJ,. Burkhard Müller
D02A46,,🇫🇷 FE,ASG 29,🇫🇷 Jan-Frederic Müller
,,🇨🇿 4Z,Ventus 3T,🇨🇿 Stefan Lichtmannecker
3ECCF6,,🇩🇪 TOY,ASG 29 E,🇩🇪 Thomas Kuhn
3EDC07,,🇮🇹 HB,JS3,🇮🇹 Bernd Krimmer
DDC37E,,. F6,LS 6,. Jonas Krautter
,,. 4S,Ventus 2cT,. Mirja Klicks
,,. WS,Ventus 2b,. Florian Karow
D0050F,,🇳🇴 CT,JS3,🇳🇴 Klaus Kalmbach
3EE45C,,. LF,LS 6 neo,. Jakob Tilman
3EF94E,,🇵🇱 HH,ASW 27,🇵🇱 Felix Huttel
D02953,,. EY,Ventus 2ax,. Bastian Hörber
D01012,,. B,JS3,. Uwe Höfinghoff
004D37,,. LV,ASG 29,. Wolfgang Gmeiner
3EE104,,🇨🇭 SB,LS 8 neo,🇨🇭 Dirk Gintzel
3EF25A,,. 47,Ventus 2a,. Hans Otto Edelhoff
3EFF4C,,. IP,ASW 27,. Norbert Dellinger
3EEDC9,,. BL,ASW 20,. Lukas Brune
3EF053,,🇩🇪 1G,Ventus 2b,🇩🇪 Henrik Bieler
,,🇨🇿 CO,AS 33,🇨🇿 Hanns-Günther Bauer
,,. K2,LS 4,. Felix Wolf
DD8204,,. E1,ASW 28,. Florian Wagner
DD82B6,,. E2,Discus b WL,. Felix Wagner
DF1597,,. 8A,Discus 2b,. Oliver Stehr
8FFF2F,,. XO,LS 8 neo,. Alexander Scheuble
DDEF10,,🇩🇰 TM,LS 8 neo,🇩🇰 Finn Schelter
,,. W,Discus bT,. Bernd Sauter
3EFEC8,,. O1,ASW 28,. Marcus Sagewitz
D00CFE,,🇳🇱 XN,Discus 2a,🇳🇱 Sebastian Nägel
DF1219,,. TW,Discus 2cFES,. Dietmar Möller
,,🇳🇱 GP,LS 8 neo,🇳🇱 Gerd Peter Lauer
3F015C,,. GT2,LS 8,. Svenja Hund
DD9E87,,🇳🇱 88,LS 8,🇳🇱 Chris Hiller
DDA260,,🇳🇱 EO,LS 8T,🇳🇱 Jan Hertrich
,,. MY,LS 8 neo,. Andreas Görmer
DF0C70,,. GQ,LS 8 neo,. Stefan Göldner
3EEDD9,,. AF,LS 7 neo,. Alexander Franke
,,. YP,Discus 2b,. Jannis Däuble
,,. BG,LS 4,. Ferdinand Berger
D021F1,,. C,LS 8 neo,. Frederic Backhaus
