ID,CALL,CN,TYPE,NAME
DF1763,,🇩🇪JLA,,🇩🇪 Jan-Lucas Aberle
4B5171,,UB,,🇨🇭 Raphael Lutz
4B5190,,Z1,,🇨🇭 Claudio Etterli
4B51B5,,Z2,,
D02B96,,?96,,
485F92,,VNE,,🇳🇱 Niels van Nieuwland
D00262,,HAL,,🇭🇺 Áron Érseki
D00160,,W8,,🇨🇿 Michaela Rendlova
FD621B,,?1B,,
DDDC58,,🇩🇪C,,🇩🇪 Clemens Berger
DDEF6F,,302,,
D025E0,,EC,,🇩🇰 Lasse Edslev
DF17A7,,🇩🇪FJ,,🇩🇪 Nuno Ferrera
DF0E33,,MK,,🇩🇰 Jacob Bøgelund Lassen
D008BF,,KE,,🇩🇰 Mathias Valentin
38B61B,,AX,,🇫🇷 Theo Napoleon
DDE312,,CA,,🇫🇷 Philippe LATA
D0018B,,EU,,🇨🇿 Jaromír Macoun
D001D4,,AU,,🇨🇿 Lukáš Kríž
DDEF6F,,302,,🇬🇧 Ben Edkins
